92-U-238(&gamma;,1n) ENDF/B-VII.1
6143600.0,0.0
6243600.0,0.0133906
6343600.0,0.0110852
6443600.0,0.0180097
6543600.0,0.0171115
6643600.0,0.0205465
6743600.0,0.0245267
6843600.0,0.0263998
6943600.0,0.0271341
7043600.0,0.0283362
7143600.0,0.0304624
7243600.0,0.0331208
7343600.0,0.0359472
7443600.0,0.0386955
7543600.0,0.0411712
7643600.0,0.0435143
7743600.0,0.0460522
7843600.0,0.0490188
7943600.0,0.0524695
8043600.0,0.0563989
8143600.0,0.0605111
8243600.0,0.0643942
8343600.0,0.0680684
8443600.0,0.0721851
8543600.0,0.0773455
8643600.0,0.0836184
8743600.0,0.0908862
8943600.0,0.106384
9043600.0,0.113706
9143600.0,0.12303
9243600.0,0.13703
9343600.0,0.153567
9443600.0,0.166337
9543600.0,0.172402
9643600.0,0.179334
9743600.0,0.195933
9843600.0,0.22171
9943600.0,0.249848
1.00436E7,0.275262
1.01436E7,0.297035
1.02436E7,0.314823
1.03436E7,0.328285
1.04436E7,0.337102
1.05436E7,0.343163
1.07436E7,0.358246
1.08436E7,0.364451
1.09436E7,0.36818
1.10436E7,0.369201
1.11436E7,0.367304
1.12436E7,0.362275
1.13436E7,0.353901
1.14436E7,0.34197
1.15436E7,0.326274
1.16436E7,0.307116
1.17436E7,0.285772
1.18436E7,0.263633
1.19436E7,0.242085
1.20436E7,0.222504
1.21436E7,0.205511
1.22436E7,0.190639
1.23436E7,0.177329
1.24436E7,0.165026
1.26436E7,0.141562
1.27436E7,0.130272
1.28436E7,0.119448
1.29436E7,0.109221
1.30436E7,0.0997185
1.31436E7,0.0910018
1.32436E7,0.0830698
1.33436E7,0.0759196
1.34436E7,0.0695485
1.35436E7,0.0639536
1.36436E7,0.0591321
1.37436E7,0.0550812
1.38436E7,0.0517982
1.39436E7,0.0492644
1.40436E7,0.0473923
1.41436E7,0.0460748
1.42436E7,0.0452049
1.43436E7,0.0446756
1.44436E7,0.0443801
1.46436E7,0.0440623
1.47436E7,0.0438261
1.48436E7,0.0433959
1.49436E7,0.0427076
1.50436E7,0.0418056
1.51436E7,0.0407511
1.56436E7,0.0349843
1.59436E7,0.0316926
1.62436E7,0.0285675
1.65436E7,0.0256221
1.68436E7,0.0228695
1.70436E7,0.021148
1.72436E7,0.0195219
1.74436E7,0.0179952
1.76436E7,0.0165717
1.78436E7,0.0152553
1.80436E7,0.0140499
1.81436E7,0.01349
1.82436E7,0.0129593
1.83436E7,0.0124581
1.84436E7,0.0119845
1.86436E7,0.01111
1.88436E7,0.0103153
1.90436E7,0.00957984
1.93436E7,0.00854285
1.97436E7,0.00717581
1.99436E7,0.00645274
2.0E7,0.0058546
