92-U-238(&gamma;,total fission) ENDF/B-VII.1
3419810.0,0.0
3420000.0,2.4507E-11
3426250.0,5.3124E-11
3443850.0,6.6696E-11
3464860.0,8.7504E-11
3485500.0,1.1425E-10
3506120.0,1.4926E-10
3526840.0,1.9498E-10
3546800.0,2.5262E-10
3566210.0,3.2429E-10
3587200.0,4.2576E-10
3608360.0,5.5921E-10
3620000.0,6.4982E-10
3639950.0,5.0259E-10
3660750.0,3.8478E-10
3679930.0,3.0039E-10
3700500.0,2.3028E-10
3719670.0,1.7986E-10
3740500.0,1.3755E-10
3761290.0,1.0517E-10
3770000.0,9.4021E-11
3812130.0,1.2392E-10
3851930.0,1.6064E-10
3893240.0,2.1069E-10
3900000.0,2.2001E-10
3920180.0,2.7788E-10
3944060.0,3.6669E-10
3967210.0,4.7892E-10
3990320.0,6.2622E-10
4000000.0,6.9996E-10
4042950.0,9.138E-10
4085570.0,1.18895E-9
4119280.0,1.47764E-9
4157920.0,1.90544E-9
4196190.0,2.45315E-9
4235890.0,3.18976E-9
4275250.0,4.13396E-9
4310000.0,5.20048E-9
4331010.0,6.88782E-9
4349860.0,8.8508E-9
4370020.0,1.15951E-8
4388660.0,1.4865E-8
4407320.0,1.90555E-8
4428040.0,2.51392E-8
4448730.0,3.31124E-8
4467250.0,4.2426E-8
4486610.0,5.48941E-8
4507180.0,7.22822E-8
4512190.0,7.83941E-8
4525930.0,1.02814E-7
4538230.0,1.31181E-7
4551770.0,1.7163E-7
4564550.0,2.20941E-7
4578140.0,2.89337E-7
4598410.0,3.98423E-7
4615890.0,5.20875E-7
4632500.0,6.72955E-7
4675030.0,1.17196E-6
4699360.0,1.5493E-6
4721350.0,1.99169E-6
4745110.0,2.61604E-6
4760000.0,3.09964E-6
4860000.0,3.80051E-6
4881450.0,4.90398E-6
4904650.0,6.45393E-6
4927460.0,8.46626E-6
4948610.0,1.08714E-5
4970680.0,1.4134E-5
4993650.0,1.85481E-5
5000000.0,1.99989E-5
5039030.0,2.62355E-5
5078360.0,3.44291E-5
5104590.0,4.15457E-5
5136910.0,5.39597E-5
5169800.0,7.04935E-5
5200000.0,9.00035E-5
5225170.0,1.16388E-4
5251270.0,1.5204E-4
5277150.0,1.97946E-4
5300000.0,2.49987E-4
5341380.0,3.18845E-4
5387640.0,4.18732E-4
5404590.0,4.67334E-4
5436910.0,6.06493E-4
5469800.0,7.91682E-4
5500000.0,0.00101002
5532410.0,0.0013344
5563020.0,0.00173349
5594800.0,0.0022785
5600000.0,0.00237975
5800000.0,0.00277003
5900000.0,0.00320011
5972310.0,0.00416919
6064840.0,0.00569135
6100000.0,0.00636982
6200000.0,0.00716964
6300000.0,0.00567013
6500000.0,0.00464011
6609380.0,0.00491815
6700000.0,0.00548992
6800000.0,0.00565023
6900000.0,0.00748975
7000000.0,0.00792005
7100000.0,0.00864991
7300000.0,0.00901013
7600000.0,0.0121001
7700000.0,0.0139997
7800000.0,0.0143102
7900000.0,0.0161497
8000000.0,0.0164099
8300000.0,0.0152009
8378910.0,0.0195718
8400000.0,0.0209392
8950000.0,0.029235
9200000.0,0.0347102
9737500.0,0.0545137
1.02E7,0.0760426
1.04E7,0.0868194
1.0675E7,0.0939286
1.09E7,0.10057
1.1E7,0.10092
1.12E7,0.0985403
1.135E7,0.100615
1.14E7,0.102268
1.15E7,0.0960606
1.16E7,0.0930308
1.19E7,0.0966496
1.21E7,0.0951403
1.23E7,0.0988606
1.25E7,0.109159
1.28E7,0.118711
1.32E7,0.147179
1.33E7,0.150008
1.34E7,0.145012
1.355E7,0.150605
1.41E7,0.16355
1.44E7,0.16455
1.49E7,0.15915
1.565E7,0.13148
1.605E7,0.111304
1.64E7,0.0978202
1.6925E7,0.0873909
1.755E7,0.0772677
1.78E7,0.0729904
1.81E7,0.0759697
1.83527E7,0.0740981
1.92984E7,0.0577861
2.0E7,0.0480003
